COD_MESE,CD_CLUSTER,DES_TIPO_GIORNO,NUM_S_RICERCHE,NUM_S_RICERCHE_NOREG,NUM_S_RICERCHE_AREA1,NUM_S_RICERCHE_AREA2,NUM_S_RICERCHE_AREA3,NUM_S_RICERCHE_AREA4,NUM_S_RICERCHE_VATICANO,NUM_S_RICERCHE_ROMA,NUM_S_RICERCHE_MILANO,NUM_S_RICERCHE_NAPOLI,NUM_S_RICERCHE_TORINO,NUM_S_RICERCHE_LAVORATIVA,NUM_S_RICERCHE_NON_LAVORATIVA,NUM_S_SESSIONI_UNICHE
201304,pub,Festivo,70997,3866,20187,13205,13977,19762,0,1559,643,813,1070,47302,23695,40734
201304,arte,Festivo,5819,3641,993,456,484,245,0,76,138,19,80,4561,1258,4180
201304,auto,Festivo,47004,2917,15551,9947,8132,10456,1,1148,1016,418,705,32858,14146,25628
201304,coop,Festivo,15403,988,5466,3332,2465,3152,0,315,195,93,128,10193,5210,10325
201304,foto,Festivo,27575,1204,8498,6328,5324,6221,0,943,873,254,777,19694,7881,14794
201304,luce,Festivo,8380,746,2819,1905,1472,1438,0,250,188,80,209,5826,2554,4540
201304,moto,Festivo,36908,8299,10640,7515,5735,4719,0,1216,795,307,793,25298,11610,21621
201304,tubi,Festivo,2166,264,931,463,304,204,0,20,14,0,17,1397,769,1609
201304,vini,Festivo,26380,1929,7301,6295,4569,6286,0,224,179,100,174,18330,8050,15310
201304,acqua,Festivo,3732,535,1104,819,449,825,0,19,11,23,16,2411,1321,2434
201304,carta,Festivo,1385,179,531,299,181,195,0,17,26,5,20,883,502,1005
201304,dolci,Festivo,37214,2937,11217,6795,6835,9430,0,516,577,333,586,25971,11243,22042
201304,forni,Festivo,1281,117,602,280,181,101,0,1,2,17,3,763,518,938
201304,gomma,Festivo,9974,1167,4283,2478,1190,856,0,129,189,77,174,6401,3573,6045
201304,marmi,Festivo,8626,474,2951,1921,1490,1790,0,109,64,52,71,5475,3151,4955
201304,notai,Festivo,16241,1569,4004,2673,3112,4880,3,504,380,468,242,10883,5358,9321
201304,pompe,Festivo,2525,439,803,614,319,350,0,16,18,7,21,1651,874,1797
201304,porte,Festivo,7695,513,2891,2148,1184,959,0,290,223,110,181,5162,2533,4327
201304,scale,Festivo,4522,219,1741,1157,716,689,0,53,32,23,36,2922,1600,2784
201304,sport,Festivo,49109,5269,16258,10243,9677,7661,1,1791,887,506,1274,34899,14210,28661
201304,vetri,Festivo,13490,3833,3831,2379,1888,1559,0,243,218,53,175,8332,5158,8898
201304,banche,Festivo,16797,1777,4809,3290,3149,3772,0,614,465,200,261,11574,5223,11079
201304,cinema,Festivo,16671,10443,2319,1360,1268,1281,0,335,240,100,192,12960,3711,11663
201304,eventi,Festivo,2844,198,961,820,456,409,0,54,55,7,20,1849,995,2030
201304,lavoro,Festivo,58900,33361,9547,6496,4447,5049,0,773,974,317,520,40077,18823,32546
201304,lingue,Festivo,8404,6013,752,584,627,428,0,113,44,43,44,6090,2314,6660
201304,misura,Festivo,810,85,253,161,160,151,0,26,40,0,10,594,216,628
201304,musica,Festivo,12331,1305,4225,2525,2285,1991,0,478,366,140,423,8547,3784,7462
201304,parchi,Festivo,368,18,175,89,37,49,0,2,4,0,1,246,122,273
